Time,Setpoint,Measured_Temperature,True_Temperature,Ambient_Temp,Controller_Output,Error,Delta_Error
7392,55,55.789136651952596,55.79885087711862,27,0.0,-0.789136651952596,0.25301044643096304
7393,55,55.64233608827286,55.65521600914215,27,0.0,-0.642336088272863,0.14680056367973293
7394,55,55.99180132656947,55.51229752305837,27,1.0,-0.9918013265694725,-0.34946523829660947
7395,55,55.28243557142237,55.669343094336746,27,0.0,-0.2824355714223685,0.709365755147104
7396,55,55.52524144559218,55.526354149121616,27,1.0,-0.5252414455921794,-0.24280587416981092
7397,55,55.46669527563545,55.68332961268502,27,0.0,-0.4666952756354519,0.05854616995672757
7398,55,56.60750173174682,55.5402709094186,27,1.0,-1.6075017317468223,-1.1408064561113704
7399,55,55.089919439564945,55.697176962850456,27,0.0,-0.08991943956494453,1.5175822921818778
7400,55,56.14594924550192,55.55404919563696,27,1.0,-1.1459492455019173,-1.0560298059369728
7401,55,55.66419686315585,55.71088652957962,27,0.0,-0.6641968631558512,0.4817523823460661
7402,55,54.53088178508549,55.56769038561681,27,0.0,0.4691182149145092,1.1333150780703605
7403,55,55.742654949227585,55.42520843540154,27,1.0,-0.7426549492275853,-1.2117731641420946
7404,55,56.70703516129745,55.58268836531669,27,1.0,-1.7070351612974477,-0.9643802120698624
7405,55,55.038471831786666,55.73938286080466,27,0.0,-0.03847183178666569,1.668563329510782
7406,55,55.06549420802956,55.59604459079693,27,0.12302705875557607,-0.06549420802956263,-0.02702237624289694
7407,55,55.33776765683408,55.49023722431773,27,1.0,-0.3377676568340817,-0.2722734488045191
7408,55,55.183655362658534,55.64739282179509,27,0.0,-0.18365536265853422,0.1541122941755475
7409,55,54.91519332476162,55.504513354020986,27,0.0,0.08480667523838292,0.26846203789691714
7410,55,54.556377423174936,55.362346500565344,27,0.0,0.4436225768250637,0.35881590158668075
7411,55,55.565354656314845,55.22088870724942,27,1.0,-0.5653546563148453,-1.008977233139909
7412,55,55.291408336797375,55.379387686060085,27,0.0,-0.29140833679737455,0.2739463195174707
7413,55,55.06066240859655,55.237844899476926,27,0.0,-0.060662408596549255,0.2307459282008253
7414,55,55.38536197694024,55.09700806048698,27,1.0,-0.38536197694023855,-0.3246995683436893
7415,55,55.30086365329857,55.25612489660099,27,0.0,-0.30086365329857045,0.0844983236416681
7416,55,56.08926836763438,55.11519688574502,27,1.0,-1.0892683676343822,-0.7884047143358117
7417,55,54.86522242038705,55.2742230047146,27,0.0,0.13477757961295111,1.2240459472473333
7418,55,54.994764770159286,55.13320472916784,27,1.0,0.005235229840714339,-0.12954234977223678
