Time,Error,Delta_Error,PID_Output_Power,Measured_Temperature,True_Temperature,Setpoint,Ambient_Temp
671,-0.912424444285449,0.31377423793846404,0.0,25.91242444428545,25.596159205278912,25,25
672,-0.14498125750162671,0.7674431867838223,0.0,25.144981257501627,25.59318584883811,25,25
673,-0.6818174786424578,-0.5368362211408311,0.0,25.681817478642458,25.590227322074426,25,25
674,-1.2224056863934827,-0.5405882077510249,0.0,26.222405686393483,25.587283551024534,25,25
675,-0.8343914508702177,0.38801423552326497,0.0,25.834391450870218,25.584354462094005,25,25
676,-1.498543792952475,-0.6641523420822573,0.0,26.498543792952475,25.581439982055464,25,25
677,-0.4425406350060932,1.0560031579463818,0.0,25.442540635006093,25.578540038046757,25,25
678,-0.37371629979295307,0.06882433521314013,0.0,25.373716299792953,25.575654557569134,25,25
679,0.4195017450079419,0.793218044800895,0.0,24.580498254992058,25.57278346848543,25,25
680,0.4053960413063997,-0.014105703701542183,0.0,24.5946039586936,25.56992669901827,25,25
681,-1.0094847720925273,-1.414880813398927,0.0,26.009484772092527,25.56708417774827,25,25
682,-0.012507104599052354,0.9969776674934749,0.0,25.012507104599052,25.56425583361225,25,25
683,-1.4296459601369271,-1.4171388555378748,0.0,26.429645960136927,25.56144159590146,25,25
684,-1.1394419772129432,0.29020398292398397,0.0,26.139441977212943,25.55864139425981,25,25
685,-1.279201441388377,-0.13975946417543383,0.0,26.279201441388377,25.55585515868211,25,25
686,0.15265742335377652,1.4318588647421535,0.0,24.847342576646223,25.55308281951233,25,25
687,-0.767913281365594,-0.9205707047193705,0.0,25.767913281365594,25.55032430744184,25,25
688,-0.4352870189028373,0.3326262624627567,0.0,25.435287018902837,25.547579553507703,25,25
689,-0.19790420937665942,0.23738280952617785,0.0,25.19790420937666,25.544848489090924,25,25
690,0.6781857353797349,0.8760899447563943,0.0,24.321814264620265,25.542131045914747,25,25
691,-0.8752025290567893,-1.5533882644365242,0.0,25.87520252905679,25.539427156042954,25,25
692,-0.06844530126628001,0.8067572277905093,0.0,25.06844530126628,25.536736751878156,25,25
693,-1.080149045582587,-1.011703744316307,0.0,26.080149045582587,25.53405976616011,25,25
694,-0.6219433649470147,0.4582056806355723,0.0,25.621943364947015,25.531396131964033,25,25
695,-0.477302158895462,0.14464120605155273,0.0,25.477302158895462,25.528745782698934,25,25
696,0.09512638586367217,0.5724285447591342,0.0,24.904873614136328,25.52610865210594,25,25
697,-0.38787595100765415,-0.4830023368713263,0.0,25.387875951007654,25.52348467425665,25,25
698,0.5618743285291146,0.9497502795367687,0.0,24.438125671470885,25.520873783551483,25,25
699,-0.15675303372530536,-0.7186273622544199,0.0,25.156753033725305,25.518275914718036,25,25
700,-0.9860648636783083,-0.8293118299530029,0.0,25.98606486367831,25.51569100280945,25,25
701,-1.0570792172747225,-0.07101435359641428,0.0,26.057079217274723,25.513118983202794,25,25
702,-1.2944505698894275,-0.237371352614705,0.0,26.294450569889428,25.51055979159744,25,25
703,0.02044217414427152,1.314892744033699,0.0,24.97955782585573,25.50801336401347,25,25
704,-0.458487898806883,-0.47893007295115453,0.0,25.458487898806883,25.505479636790056,25,25
705,-1.26012358149217,-0.8016356826852871,0.0,26.26012358149217,25.50295854658389,25,25
706,-0.04338904126797871,1.2167345402241914,0.0,25.04338904126798,25.50045003036759,25,25
707,0.22572207544018852,0.26911111670816723,0.0,24.77427792455981,25.497954025428108,25,25
708,0.44211669296109335,0.21639461752090483,0.0,24.557883307038907,25.4954704693652,25,25
709,-0.5673293853619477,-1.009446078323041,0.0,25.567329385361948,25.492999300089828,25,25
710,-1.0732539348564956,-0.5059245494945479,0.0,26.073253934856496,25.49054045582264,25,25
711,-0.2641407351609182,0.8091131996955774,0.0,25.264140735160918,25.488093875092392,25,25
712,-0.38316487810459066,-0.11902414294367247,0.0,25.38316487810459,25.485659496734442,25,25
713,-0.5455410248274646,-0.16237614672287393,0.0,25.545541024827465,25.483237259889208,25,25
714,0.6272237220974652,1.1727647469249298,0.0,24.372776277902535,25.48082710400064,25,25
715,0.14569536972837938,-0.48152835236908587,0.0,24.85430463027162,25.47842896881471,25,25
716,-1.2647494887999606,-1.41044485852834,0.0,26.26474948879996,25.476042794377925,25,25
717,-0.44049574636738953,0.8242537424325711,0.0,25.44049574636739,25.47366852103579,25,25
718,-0.5273369708161972,-0.08684122444880771,0.0,25.527336970816197,25.471306089431355,25,25
719,-0.3871359173287132,0.14020105348748402,0.0,25.387135917328713,25.468955440503702,25,25
720,-0.16406388753953038,0.22307202978918284,0.0,25.16406388753953,25.466616515486482,25,25
721,-1.0087795741857732,-0.8447156866462429,0.0,26.008779574185773,25.464289255906454,25,25
722,-0.1556904514272155,0.8530891227585577,0.0,25.155690451427215,25.461973603582006,25,25
723,-1.5331343597427995,-1.377443908315584,0.0,26.5331343597428,25.459669500621708,25,25
724,-0.6257633401930462,0.9073710195497533,0.0,25.625763340193046,25.457376889422868,25,25
725,-0.569076970071368,0.05668637012167821,0.0,25.569076970071368,25.455095712670087,25,25
